Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-08 02:13:56,"3.096955, 101.6049833",29 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-08 02:14:01,"3.0968033, 101.6051983",38 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-08 02:14:16,"3.09617, 101.6060083",33 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-08 02:15:01,"3.0979733, 101.6071817",113 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-08 02:16:11,"3.10222, 101.6082483",141 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-08 02:16:41,"3.1016, 101.6116917",182 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-08 02:18:11,"3.1029733, 101.616555",180 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-08 02:19:16,"3.10767, 101.6162833",109 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-08 02:19:36,"3.1093783, 101.6171217",87 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-08 02:00:58,"3.1110874, 101.6122197",73 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-08 02:02:46,"3.1091217, 101.6114617",174 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-08 02:17:01,"3.1015667, 101.613235",108 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-08 02:19:56,"3.109905, 101.6165533",192 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-08 01:48:26,"3.1111156, 101.6122548",72 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-08 01:50:31,"3.10932, 101.6115667",186 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-08 01:52:31,"3.101825, 101.615035",192 meter,2
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-08 01:53:51,"3.10148, 101.6109317",176 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-08 02:31:21,"3.1101533, 101.617645",128 meter,19
